cdf_offer_id,cdf_merchant_id,offer_name,merchant_description,category,curated_image,Tags,city,differentiating_tags,common_tags,differentiating_tags_str,common_tags_str
25466,LL67,Halo Halo Restaurant - Jannah Marina Hotel Apartments,"Enjoy exotic delights and a rich culinary experience at our vibrant and spirited signature pan Asian, Halo Halo Restaurant.",dining,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-mi/LL67_Halo_Halo_Restaurant_Jannah_Marina_Hotel_Apartments_New_Image.webp.webp,restaurant|average-pricing|delivery-services|accepts-cards|dine-in|large-group-friendly|asian-cuisine|casual-dining|take-away|couple-friendly,Dubai,"['asian-cuisine', 'average-pricing', 'delivery-services', 'large-group-friendly']","['accepts-cards', 'couple-friendly', 'dine-in', 'restaurant', 'casual-dining', 'take-away']",asian-cuisine|average-pricing|delivery-services|large-group-friendly,accepts-cards|couple-friendly|dine-in|restaurant|casual-dining|take-away
25467,LL119,Sahara Cafe - Jannah Hotel Apartment And Villas,"Sahara Cafe is the perfect blend of modern and comfortable aesthetics offering signature experiences at affordable prices that guarantee the satisfaction and smile of the customers. Discover distinct Shisha flavors, a creatively curated menu offering Arabic cuisine and delectable treats, and various beverages such as fresh juices, teas & coffee.",dining,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-mi/LL119_Sahara_Cafe_Jannah_Hotel_Apartment_And_Villas_New_Image.webp.webp,breakfast|cafe|general|basic-design|fast-casual-dining|dine-in|couple-friendly|soups|dessert|sandwiches,Ras Al Khaimah,"['soups', 'dessert', 'sandwiches', 'fast-casual-dining', 'cafe', 'basic-design', 'general', 'breakfast']","['accepts-cards', 'couple-friendly', 'dine-in', 'restaurant', 'casual-dining', 'take-away']",soups|dessert|sandwiches|fast-casual-dining|cafe|basic-design|general|breakfast,accepts-cards|couple-friendly|dine-in|restaurant|casual-dining|take-away
25478,LL66,Halo Halo - Edge Creekside Hotel,"Enjoy exotic delights and a rich culinary experience at our vibrant and spirited signature pan Asian, Halo Halo restaurant.",dining,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-mi/LL66_Halo_Halo_Edge_Creekside_Hotel_New_Image.webp.webp,restaurant|average-pricing|online-order|delivery-services|other-design|accepts-cards|dine-in|large-group-friendly|asian-cuisine|casual-dining|take-away|couple-friendly|thai-cuisine|fusion-cuisine|chinese-cuisine|philippine-cuisine,Dubai,"['philippine-cuisine', 'fusion-cuisine', 'thai-cuisine', 'chinese-cuisine', 'asian-cuisine', 'other-design', 'online-order', 'average-pricing', 'delivery-services', 'large-group-friendly']","['accepts-cards', 'couple-friendly', 'dine-in', 'restaurant', 'casual-dining', 'take-away']",philippine-cuisine|fusion-cuisine|thai-cuisine|chinese-cuisine|asian-cuisine|other-design|online-order|average-pricing|delivery-services|large-group-friendly,accepts-cards|couple-friendly|dine-in|restaurant|casual-dining|take-away
25479,LL55,Feta Restaurant - Edge Creekside Hotel,"Indulge in a tempting Mediterranean experience at Feta Restaurant featuring al fresco all-day endless eats offering a wide selection of dishes at the daily buffet service, alongside an a la carte menu. Enjoy the beautiful views of creek at the outdoor terrace shisha lounge.",dining,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-mi/LL55_Feta_Restaurant_Edge_Creekside_Hotel_New_Image.webp.webp,outdoor-seating|mediterranean-cuisine|accepts-cards|large-group-friendly|take-away|couple-friendly|modern-design|breakfast|restaurant|average-pricing|delivery-services|booking-and-reservations|wifi|dine-in|casual-dining,Dubai,"['mediterranean-cuisine', 'modern-design', 'outdoor-seating', 'booking-and-reservations', 'wifi', 'average-pricing', 'breakfast', 'delivery-services', 'large-group-friendly']","['accepts-cards', 'couple-friendly', 'dine-in', 'restaurant', 'casual-dining', 'take-away']",mediterranean-cuisine|modern-design|outdoor-seating|booking-and-reservations|wifi|average-pricing|breakfast|delivery-services|large-group-friendly,accepts-cards|couple-friendly|dine-in|restaurant|casual-dining|take-away
25523,LL74,Il Forno,Experience the finest Italian,dining,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-mi/LL74_Il_Forno_New_Image.webp.webp,outdoor-seating|accepts-cards|italian-cuisine|wheelchair-access|large-group-friendly|take-away|breakfast|restaurant|average-pricing|online-order|delivery-services|dine-in|pasta|fast-food|booking-and-reservations,Abu Dhabi,"['pasta', 'italian-cuisine', 'fast-food', 'wheelchair-access', 'online-order', 'outdoor-seating', 'booking-and-reservations', 'average-pricing', 'breakfast', 'delivery-services', 'large-group-friendly']","['accepts-cards', 'couple-friendly', 'dine-in', 'restaurant', 'casual-dining', 'take-away']",pasta|italian-cuisine|fast-food|wheelchair-access|online-order|outdoor-seating|booking-and-reservations|average-pricing|breakfast|delivery-services|large-group-friendly,accepts-cards|couple-friendly|dine-in|restaurant|casual-dining|take-away
25535,LL124,Soy To Chutney,Your home to contemporary international cusine,dining,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-mi/LL124_Soy_To_Chutney_New_Image.webp.webp,chinese-cuisine|accepts-cards|large-group-friendly|seafood|take-away|couple-friendly|indian-cuisine|themed-restaurant|restaurant|average-pricing|online-order|delivery-services|booking-and-reservations|air-conditioned|basic-design|wifi|north-indian-cuisine|dine-in|curry|casual-dining|kid-friendly|poultry|friendly-staff,Dubai,"['themed-restaurant', 'chinese-cuisine', 'curry', 'north-indian-cuisine', 'poultry', 'friendly-staff', 'seafood', 'air-conditioned', 'kid-friendly', 'indian-cuisine', 'online-order', 'basic-design']","['accepts-cards', 'couple-friendly', 'dine-in', 'restaurant', 'casual-dining', 'take-away']",themed-restaurant|chinese-cuisine|curry|north-indian-cuisine|poultry|friendly-staff|seafood|air-conditioned|kid-friendly|indian-cuisine|online-order|basic-design,accepts-cards|couple-friendly|dine-in|restaurant|casual-dining|take-away
25542,LL143,Vibe - Mgallery By Sofitel,"Offering a la carte and buffet options for breakfast, lunch and dinner, explore a selection of delicious healthy dishes prepared in the open kitchens, enjoy freshly squeezed juices throughout the day from the specialist juice bar, as you admire the spectacular views out over the shoreline.",dining,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-mi/LL143_Vibe_Mgallery_By_Sofitel_New_Image.webp.webp,outdoor-seating|valet-parking|vegan|accepts-cards|large-group-friendly|serves-alcohol-full-bar|couple-friendly|modern-design|dine-with-a-view|fine-dining|breakfast|restaurant|gluten-free|booking-and-reservations|general|wifi|dine-in|kid-friendly|luxury|wifi,Dubai,"['dine-with-a-view', 'fine-dining', 'vegan', 'gluten-free', 'kid-friendly', 'luxury', 'modern-design', 'serves-alcohol-full-bar', 'valet-parking', 'outdoor-seating', 'booking-and-reservations', 'wifi']","['accepts-cards', 'couple-friendly', 'dine-in', 'restaurant', 'casual-dining', 'take-away']",dine-with-a-view|fine-dining|vegan|gluten-free|kid-friendly|luxury|modern-design|serves-alcohol-full-bar|valet-parking|outdoor-seating|booking-and-reservations|wifi,accepts-cards|couple-friendly|dine-in|restaurant|casual-dining|take-away
25545,LL40,Chapters - Mgallery By Sofitel,"Chapters, is a great place to socialise over a morning coffee or to enjoy the peaceful surroundings and read a book from our library as you enjoy afternoon tea.",dining,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-mi/LL40_Chapters_Mgallery_By_Sofitel_New_Image.webp.webp,cafe|valet-parking|general|afternoon-tea|wifi|premium|accepts-cards|dine-in|casual-dining|take-away|modern-design|24-by-7,Dubai,"['afternoon-tea', '24-by-7', 'premium', 'modern-design', 'valet-parking', 'cafe', 'wifi', 'general']","['accepts-cards', 'couple-friendly', 'dine-in', 'restaurant', 'casual-dining', 'take-away']",afternoon-tea|24-by-7|premium|modern-design|valet-parking|cafe|wifi|general,accepts-cards|couple-friendly|dine-in|restaurant|casual-dining|take-away
25546,LL15,Bait Al Nakhla - Mgallery By Sofitel,"Bait Al Nakhla offers dine-in guests with stunning and sweeping views of the Dubai skyline, enjoyed within the comforts of the elegant dining venue.",dining,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-mi/LL15_Bait_Al_Nakhla_Mgallery_By_Sofitel_New_Image.webp.webp,outdoor-seating|accepts-cards|large-group-friendly|serves-alcohol-full-bar|take-away|couple-friendly|modern-design|fine-dining|restaurant|middle-eastern-cuisine|dinner|booking-and-reservations|premium|dine-in|arabian-cuisine,Dubai,"['fine-dining', 'dinner', 'premium', 'modern-design', 'serves-alcohol-full-bar', 'middle-eastern-cuisine', 'arabian-cuisine', 'outdoor-seating', 'booking-and-reservations', 'large-group-friendly']","['accepts-cards', 'couple-friendly', 'dine-in', 'restaurant', 'casual-dining', 'take-away']",fine-dining|dinner|premium|modern-design|serves-alcohol-full-bar|middle-eastern-cuisine|arabian-cuisine|outdoor-seating|booking-and-reservations|large-group-friendly,accepts-cards|couple-friendly|dine-in|restaurant|casual-dining|take-away
25550,LL63,Gerard Cafe,"Open since 1981, Gerard Cafe is a French coffee shop, gathering three Four generations of coffee lovers.",dining,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-mi/LL63_Gerard_Cafe_New_Image.webp.webp,average-pricing|cafe|general|accepts-cards|dine-in|large-group-friendly|casual-dining|outdoor-seating|kid-friendly|take-away|pasta|dessert,Abu Dhabi,"['pasta', 'dessert', 'kid-friendly', 'outdoor-seating', 'cafe', 'general', 'average-pricing', 'large-group-friendly']","['accepts-cards', 'couple-friendly', 'dine-in', 'restaurant', 'casual-dining', 'take-away']",pasta|dessert|kid-friendly|outdoor-seating|cafe|general|average-pricing|large-group-friendly,accepts-cards|couple-friendly|dine-in|restaurant|casual-dining|take-away
25553,LL142,Urban Kitchen - Dusit Thani Abu Dhabi,"Enjoy international favourites in a contemporary and sophisticated destination. Indulge in plentiful buffets for breakfast, lunch and dinner, complete with live cooking stations and Friday Brunch.",dining,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-oi/LL143_Vibe_Mgallery_By_Sofitel_1.webp.webp,buffet|brunch|accepts-cards|luxury-dining|large-group-friendly|serves-alcohol-full-bar|take-away|couple-friendly|breakfast|restaurant|classical-design|booking-and-reservations|wifi|premium|dine-in|lunch-and-dineer|valetparking|wheelchair-access|asian-cuisine|international-cuisine,Abu Dhabi,"['lunch-and-dineer', 'valetparking', 'luxury-dining', 'classical-design', 'brunch', 'asian-cuisine', 'premium', 'wheelchair-access', 'international-cuisine', 'serves-alcohol-full-bar', 'buffet', 'booking-and-reservations']","['accepts-cards', 'couple-friendly', 'dine-in', 'restaurant', 'casual-dining', 'take-away']",lunch-and-dineer|valetparking|luxury-dining|classical-design|brunch|asian-cuisine|premium|wheelchair-access|international-cuisine|serves-alcohol-full-bar|buffet|booking-and-reservations,accepts-cards|couple-friendly|dine-in|restaurant|casual-dining|take-away
25554,LL104,Namak - Dusit Thani Abu Dhabi,"Indulge in an exquisite dining experience showcasing the different regions of India. Namak celebrates the aromatic flavours with bold plating, traditional combinations and cooking techniques.",dining,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-mi/LL104_Namak_Dusit_Thani_Abu_Dhabi_New_Image.webp.webp,cocktails|accepts-cards|serves-alcohol-full-bar|couple-friendly|indian-cuisine|restaurant|booking-and-reservations|air-conditioned|other-design|wifi|dine-in|curry|meat|casual-dining|luxury,Abu Dhabi,"['cocktails', 'meat', 'curry', 'air-conditioned', 'luxury', 'indian-cuisine', 'other-design', 'serves-alcohol-full-bar', 'booking-and-reservations', 'wifi']","['accepts-cards', 'couple-friendly', 'dine-in', 'restaurant', 'casual-dining', 'take-away']",cocktails|meat|curry|air-conditioned|luxury|indian-cuisine|other-design|serves-alcohol-full-bar|booking-and-reservations|wifi,accepts-cards|couple-friendly|dine-in|restaurant|casual-dining|take-away
25555,LL19,Benjarong Restaurant And Lounge - Dusit Thani Abu Dhabi,"Discover authentic Thai cuisine in a unique space that fuses contemporary style in an elegant setting with traditional Thai design motifs. With recipes that have been passed down over generations, multi-awarded Benjarong brings the best flavours and tastes of Thailand to Abu Dhabi.",dining,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-mi/LL19_Benjarong_Restaurant_And_Lounge_Dusit_Thani_Abu_Dhabi_New_Image.webp.webp,accepts-cards|luxury-dining|large-group-friendly|thai-cuisine|serves-alcohol-full-bar|asian-cuisine|couple-friendly|restaurant|classical-design|gluten-free|booking-and-reservations|wifi|premium|dine-in|private-dining,Abu Dhabi,"['luxury-dining', 'thai-cuisine', 'classical-design', 'gluten-free', 'asian-cuisine', 'private-dining', 'premium', 'serves-alcohol-full-bar', 'booking-and-reservations', 'wifi', 'large-group-friendly']","['accepts-cards', 'couple-friendly', 'dine-in', 'restaurant', 'casual-dining', 'take-away']",luxury-dining|thai-cuisine|classical-design|gluten-free|asian-cuisine|private-dining|premium|serves-alcohol-full-bar|booking-and-reservations|wifi|large-group-friendly,accepts-cards|couple-friendly|dine-in|restaurant|casual-dining|take-away
25556,LL112,Orchid Lounge - Dusit Thani Abu Dhabi,"Enjoy a light snack, sandwich or salad in the comfort of our stylish lobby lounge or out on the terrace. Meet friends or take care of business with a choice of tea, Illy gourmet coffee or a selection of healthy juices.",dining,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-mi/LL112_Orchid_Lounge_Dusit_Thani_Abu_Dhabi_New_Image.webp.webp,ethnic-design|outdoor-seating|cafe|accepts-cards|wheelchair-access|serves-alcohol-full-bar|take-away|couple-friendly|breakfast|delivery-services|booking-and-reservations|general|wifi|premium|dine-in|fast-food,Abu Dhabi,"['ethnic-design', 'fast-food', 'premium', 'wheelchair-access', 'serves-alcohol-full-bar', 'outdoor-seating', 'cafe', 'booking-and-reservations', 'wifi', 'general', 'breakfast', 'delivery-services']","['accepts-cards', 'couple-friendly', 'dine-in', 'restaurant', 'casual-dining', 'take-away']",ethnic-design|fast-food|premium|wheelchair-access|serves-alcohol-full-bar|outdoor-seating|cafe|booking-and-reservations|wifi|general|breakfast|delivery-services,accepts-cards|couple-friendly|dine-in|restaurant|casual-dining|take-away
25570,LL34,Cafe Trottoir - City Seasons Al Hamra Abu Dhabi,"Serving hot and cold beverages with a variety of light meals, Trottoir is one of the best cafes in Abu Dhabi to enjoy a relaxed and ideal meeting point for guests and friends or business associates.",dining,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-mi/LL34_Cafe_Trottoir_City_Seasons_Al_Hamra_Abu_Dhabi_New_Image.webp.webp,breakfast|average-pricing|cafe|general|wifi|accepts-cards|dine-in|casual-dining|take-away|modern-design,Abu Dhabi,"['modern-design', 'cafe', 'wifi', 'general', 'average-pricing', 'breakfast']","['accepts-cards', 'couple-friendly', 'dine-in', 'restaurant', 'casual-dining', 'take-away']",modern-design|cafe|wifi|general|average-pricing|breakfast,accepts-cards|couple-friendly|dine-in|restaurant|casual-dining|take-away
25572,LL117,Printania Restaurant - Royal Rose Hotel Abu Dhabi,"This all-day dining restaurant of Royal Rose Hotel offers buffet-style breakfast, lunch and dinner. A wide range international specialties are prepared a la minute' at live cooking stations to accompany the assortment laid out on the buffet and food stalls, allowing the diner a wide choice that suits all tastes.",dining,https://dpimages.crayondata.com/high-res-image/adib-22ndjun-mi/LL117_Printania_Restaurant_Royal_Rose_Hotel_Abu_Dhabi_New_Image.webp.webp,buffet|brunch|accepts-cards|couple-friendly|breakfast|live-cooking|restaurant|classical-design|middle-eastern-cuisine|dinner|booking-and-reservations|wifi|premium|dine-in|casual-dining|arabian-cuisine|friendly-staff|lunch,Abu Dhabi,"['friendly-staff', 'live-cooking', 'lunch', 'classical-design', 'dinner', 'brunch', 'premium', 'buffet', 'middle-eastern-cuisine', 'arabian-cuisine', 'booking-and-reservations', 'wifi']","['accepts-cards', 'couple-friendly', 'dine-in', 'restaurant', 'casual-dining', 'take-away']",friendly-staff|live-cooking|lunch|classical-design|dinner|brunch|premium|buffet|middle-eastern-cuisine|arabian-cuisine|booking-and-reservations|wifi,accepts-cards|couple-friendly|dine-in|restaurant|casual-dining|take-away
